ID_ND	Database	PubMLST_id	NCBI_assembly_accession	Species	Isolate.Name	Aliases	Country	Continent	Region	Source	Year	Source_harmonized
ND_NC0048	NCBI	NA	GCF_030023585.1	Cronobacter dublinensis	MOD1-6-3G	ASM3002358v1	South Korea	Asia		nuts	Unknown	Food and Food Ingredients
ND_NC0049	NCBI	NA	GCF_030025425.1	Cronobacter dublinensis	MOD1-6-15G	ASM3002542v1	South Korea	Asia		nuts	Unknown	Food and Food Ingredients
ND_NC0050	NCBI	NA	GCF_030025445.1	Cronobacter dublinensis	MOD1-KW5	ASM3002544v1	South Korea	Asia		black rice	Unknown	Food and Food Ingredients
ND_NC0051	NCBI	NA	GCF_030025485.1	Cronobacter dublinensis	MOD1-3-27	ASM3002548v1	South Korea	Asia		nuts	Unknown	Food and Food Ingredients
ND_NC0052	NCBI	NA	GCF_030025595.1	Cronobacter dublinensis	MOD1-2-14	ASM3002559v1	South Korea	Asia		nuts	Unknown	Food and Food Ingredients
ND_NC0053	NCBI	NA	GCF_030025765.1	Cronobacter dublinensis	MOD1-Sun1	ASM3002576v1	South Korea	Asia		taro	Unknown	Food and Food Ingredients
ND_NC0054	NCBI	NA	GCF_030126365.1	Cronobacter dublinensis	MOD1-CR1504	ASM3012636v1	Czech Republic	Europe		strawberry	Unknown	Food and Food Ingredients
ND_NC0055	NCBI	NA	GCF_030126385.1	Cronobacter dublinensis	MOD1-CR1521	ASM3012638v1	Czech Republic	Europe		gloves	Unknown	Environmental Samples
ND_NC0056	NCBI	NA	GCF_030126405.1	Cronobacter dublinensis	MOD1-CR1148	ASM3012640v1	Czech Republic	Europe		Water for Irrigation	Unknown	Environmental Samples
ND_NC0057	NCBI	NA	GCF_030126425.1	Cronobacter dublinensis	MOD1-CR1541	ASM3012642v1	Czech Republic	Europe		Parsley	Unknown	Food and Food Ingredients
ND_NC0058	NCBI	NA	GCF_030710875.1	Cronobacter dublinensis	S27	ASM3071087v1	USA	North America		Aquatic Environment	2021	Animal and Biological Sources
ND_NC0059	NCBI	NA	GCF_032026925.1	Cronobacter dublinensis	Cron-b3	ASM3202692v1	China	Asia		ensilage	2022	Environmental Samples
ND_NC0060	NCBI	NA	GCF_032026945.1	Cronobacter dublinensis	Cron-b2	ASM3202694v1	China	Asia		ensilage	2022	Environmental Samples
ND_NC0061	NCBI	NA	GCF_032598745.1	Cronobacter dublinensis	CFSA A137	ASM3259874v1	China	Asia		Cereal-based food (noodle) for infant	2021	Food and Food Ingredients
ND_NC0062	NCBI	NA	GCF_041222905.1	Cronobacter dublinensis	2012-05-18	ASM4122290v1	Unknown	Unknown		unknown	2012	Unknown and Unclassified Sources
ND_NC0063	NCBI	NA	GCF_043258315.1	Cronobacter dublinensis	S27	ASM4325831v1	USA	North America		surface water	2021	Environmental Samples
ND_NC0064	NCBI	NA	GCF_044142805.1	Cronobacter dublinensis	BC-14	ASM4414280v1	China	Asia		seed	2023	Food and Food Ingredients
ND_NC0066	NCBI	NA	GCA_016076555.1	Cronobacter dublinensis	MOD1_5960-70	PDT000337051.1	USA	North America		blood	1970	Clinical and Medical Samples
ND_NC0067	NCBI	NA	GCA_016076875.1	Cronobacter dublinensis	MOD1_0743-75	PDT000337047.1	USA	North America		foot wound	1975	Clinical and Medical Samples
ND_NC0068	NCBI	NA	GCA_026609995.2	Cronobacter dublinensis	FDA1207441-S001-001	PDT001509570.2	USA	North America		powdered infant formula	2022	Food and Food Ingredients
