ID_ND	Database	PubMLST_id	NCBI_assembly_accession	Species	Isolate.Name	Aliases	Country	Continent	Region	Source	Year	Source_harmonized
ND_PM1328	PubMLST	3924	GCA_029229325.1	Cronobacter sakazakii	FDA1168205-S052-003	CFSAN129940; SRS17031643	USA	North America	WI	Environmental	2023	Environmental Samples
ND_PM1329	PubMLST	3936	GCA_029601975.1	Cronobacter sakazakii	CFSAN130603	SRS17239023	USA	North America	MI	Environmental	2023	Environmental Samples
ND_PM1330	PubMLST	3937	GCA_029303975.1	Cronobacter sakazakii	FDA1168207-S109-003	CFSAN129948; SRS17091951	USA	North America	WI	Environmental	2023	Environmental Samples
ND_PM1332	PubMLST	3939	GCA_029602555.1	Cronobacter sakazakii	CFSAN130606	SRS17239565	USA	North America	MI	Environmental	2023	Environmental Samples
ND_PM1333	PubMLST	3940	GCA_029601715.1	Cronobacter sakazakii	CFSAN130608	SRS17239564	USA	North America	MI	Environmental	2023	Environmental Samples
ND_PM1338	PubMLST	3945		Cronobacter sakazakii	510110-19	1838	Czech Republic	Europe		Clinical	2013	Clinical and Medical Samples
ND_PM1339	PubMLST	3946		Cronobacter sakazakii	510111-19	1998	Czech Republic	Europe		Clinical	2013	Clinical and Medical Samples
ND_PM1340	PubMLST	3947		Cronobacter sakazakii	510112-19	2008	Czech Republic	Europe		Clinical	2013	Clinical and Medical Samples
ND_PM1345	PubMLST	3952		Cronobacter sakazakii	510113-19	2011	Czech Republic	Europe		Clinical	2013	Clinical and Medical Samples
ND_PM1346	PubMLST	3953		Cronobacter sakazakii	510114-19	2006	Czech Republic	Europe		Clinical	2013	Clinical and Medical Samples
ND_PM1347	PubMLST	3954		Cronobacter sakazakii	510116-19	1842	Czech Republic	Europe		Clinical	2012	Clinical and Medical Samples
ND_PM1348	PubMLST	3955		Cronobacter sakazakii	510117-19	2005	Czech Republic	Europe		Clinical	2013	Clinical and Medical Samples
ND_PM1349	PubMLST	3956		Cronobacter sakazakii	510118-19	2021	Czech Republic	Europe		Clinical	2013	Clinical and Medical Samples
ND_PM1350	PubMLST	3957		Cronobacter sakazakii	510119-19	1841	Czech Republic	Europe		Clinical	2012	Clinical and Medical Samples
ND_PM1351	PubMLST	3958		Cronobacter sakazakii	510120-19	2003	Czech Republic	Europe		Clinical	2013	Clinical and Medical Samples
ND_PM1352	PubMLST	3959		Cronobacter sakazakii	510121-19	1915	Czech Republic	Europe		Clinical	2012	Clinical and Medical Samples
ND_PM1353	PubMLST	3960		Cronobacter sakazakii	510122-19	1996	Czech Republic	Europe		Clinical	2013	Clinical and Medical Samples
ND_PM1354	PubMLST	3961		Cronobacter sakazakii	510123-19	2010	Czech Republic	Europe		Clinical	2013	Clinical and Medical Samples
ND_PM1355	PubMLST	3962		Cronobacter sakazakii	510124-19	2019	Czech Republic	Europe		Clinical	2013	Clinical and Medical Samples
ND_PM1356	PubMLST	3963		Cronobacter sakazakii	510125-19	2001	Czech Republic	Europe		Clinical	2013	Clinical and Medical Samples
ND_PM1357	PubMLST	3964		Cronobacter sakazakii	510126-19	2000	Czech Republic	Europe		Clinical	2012	Clinical and Medical Samples
ND_PM1358	PubMLST	3965		Cronobacter sakazakii	510127-19	2002	Czech Republic	Europe		Clinical	2013	Clinical and Medical Samples
ND_PM1359	PubMLST	3966		Cronobacter sakazakii	510128-19	1916	Czech Republic	Europe		Clinical	2012	Clinical and Medical Samples
ND_PM1360	PubMLST	3967		Cronobacter sakazakii	510129-19	2013	Czech Republic	Europe		Clinical	2012	Clinical and Medical Samples
ND_PM1361	PubMLST	3968		Cronobacter sakazakii	510130-19	2012	Czech Republic	Europe		Clinical	2013	Clinical and Medical Samples
ND_PM1362	PubMLST	3969		Cronobacter sakazakii	510131-19	2009	Czech Republic	Europe		Clinical	2012	Clinical and Medical Samples
ND_PM1363	PubMLST	3970		Cronobacter sakazakii	510132-19	1903	Czech Republic	Europe		Clinical	2012	Clinical and Medical Samples
ND_PM1364	PubMLST	3971		Cronobacter sakazakii	510133-19	1902	Czech Republic	Europe		Clinical	2012	Clinical and Medical Samples
ND_PM1365	PubMLST	3972		Cronobacter sakazakii	510134-19	1901	Czech Republic	Europe		Clinical	2012	Clinical and Medical Samples
ND_PM1366	PubMLST	3973		Cronobacter sakazakii	510135-19	1997	Czech Republic	Europe		Clinical	2013	Clinical and Medical Samples
ND_PM1367	PubMLST	3974		Cronobacter sakazakii	510136-19	1839	Czech Republic	Europe		Clinical	2012	Clinical and Medical Samples
ND_PM1368	PubMLST	3975		Cronobacter sakazakii	510137-19	1840	Czech Republic	Europe		Clinical	2012	Clinical and Medical Samples
ND_PM1369	PubMLST	3976		Cronobacter sakazakii	510138-19	1836	Czech Republic	Europe		Clinical	2012	Clinical and Medical Samples
ND_PM1370	PubMLST	3977		Cronobacter sakazakii	510139-19	1837	Czech Republic	Europe		Clinical	2012	Clinical and Medical Samples
ND_PM1372	PubMLST	3979		Cronobacter sakazakii	510142-19	2016	Czech Republic	Europe		Clinical	2013	Clinical and Medical Samples
ND_PM1373	PubMLST	3980		Cronobacter sakazakii	510143-19	2017	Czech Republic	Europe		Clinical	2013	Clinical and Medical Samples
ND_PM1374	PubMLST	3981		Cronobacter sakazakii	510144-19	1995	Czech Republic	Europe		Clinical	2013	Clinical and Medical Samples
ND_PM1377	PubMLST	4012	GCA_026099235.1	Cronobacter sakazakii	CFSAN128238	SRS15705320	USA	North America	MI	Powdered infant formula	2022	Food and Food Ingredients
ND_PM1378	PubMLST	4014	GCA_028886825.1	Cronobacter sakazakii	FDA1216050-S001-004	CFSAN129859; SRS16909653	USA	North America	MI	Powdered infant formula	2023	Food and Food Ingredients
ND_PM1379	PubMLST	4015	GCA_028886765.1	Cronobacter sakazakii	FDA1216050-S001-002	CFSAN129857; SRS16909654	USA	North America	MI	Powdered infant formula	2023	Food and Food Ingredients
