ID_ND	Database	PubMLST_id	NCBI_assembly_accession	Species	Isolate.Name	Aliases	Country	Continent	Region	Source	Year	Source_harmonized
ND_PM0693	PubMLST	2632		Other	St-BJ2016062224		China	Asia		Environmental	2016	Environmental Samples
ND_PM0694	PubMLST	2633		Other	St-BJ2016052026		China	Asia		Environmental	2016	Environmental Samples
ND_PM0778	PubMLST	2909		Other	B_brenn_ATCC51605		Unknown	Unknown			Unknown	Unknown and Unclassified Sources
ND_PM0779	PubMLST	2910		Other	P_aggl_CFSAN047154		Unknown	Unknown			Unknown	Unknown and Unclassified Sources
ND_PM0780	PubMLST	2911		Other	L_amni_NCTC12124		Unknown	Unknown			Unknown	Unknown and Unclassified Sources
ND_PM0781	PubMLST	2912		Other	Pe_vul_4928STDY70715		Unknown	Unknown			Unknown	Unknown and Unclassified Sources
ND_PM0922	PubMLST	3194		Other	Eh-51283702		Norway	Europe			2021	Unknown and Unclassified Sources
ND_PM0930	PubMLST	3202		Other	Fh-CH85	510439-19	Chile	South America			2017	Unknown and Unclassified Sources
ND_PM0946	PubMLST	3220		Other	Fp-1315001-1		China	Asia	Zhejiang Wenzhou	milk powder	2013	Food and Food Ingredients
ND_PM1014	PubMLST	3407		Other	Er-51260936		Norway	Europe			Unknown	Unknown and Unclassified Sources
ND_PM1184	PubMLST	3668		Other	Ec-510428		Chile	South America		Powdered infant formula	Unknown	Food and Food Ingredients
ND_PM1185	PubMLST	3669		Other	Fh-510439		Chile	South America		Powdered infant formula	Unknown	Food and Food Ingredients
ND_PM1186	PubMLST	3670		Other	Fh-510440		Chile	South America		Powdered infant formula	Unknown	Food and Food Ingredients
ND_PM1512	PubMLST	4189		Other	Fh-510441-19		Chile	South America		Food	2019	Food and Food Ingredients
