ID_ND	Database	PubMLST_id	NCBI_assembly_accession	Species	Isolate Name	Aliases	Country	Continent	Region	Source	Year	Source_harmonized
ND_NC1917	NCBI	NA	GCA_033943845.1	Cronobacter sakazakii	CFSAN135081	PDT001996130.1	USA	North America	NA	grain	2023	Food and Food Ingredients
ND_NC1918	NCBI	NA	GCA_033943865.1	Cronobacter sakazakii	CFSAN134906	PDT001996129.1	USA	North America	NA	vacuum dust floor sweepings	2023	Environmental Samples
ND_NC1919	NCBI	NA	GCA_033943885.1	Cronobacter sakazakii	CFSAN134907	PDT001996128.1	USA	North America	NA	vacuum dust floor sweepings	2023	Environmental Samples
ND_NC1920	NCBI	NA	GCA_033943905.1	Cronobacter sakazakii	CFSAN134896	PDT001996127.1	USA	North America	NA	food production facility environmental sponge	2023	Environmental Samples
ND_NC1921	NCBI	NA	GCA_033943925.1	Cronobacter sakazakii	CFSAN135056	PDT001996126.1	USA	North America	NA	grain	2023	Food and Food Ingredients
ND_NC1922	NCBI	NA	GCA_033943945.1	Cronobacter sakazakii	CFSAN134965	PDT001996125.1	USA	North America	NA	kitchen sink	2023	Environmental Samples
ND_NC1923	NCBI	NA	GCA_033943965.1	Cronobacter sakazakii	CFSAN135102	PDT001996123.1	USA	North America	NA	nuts nut butter	2023	Food and Food Ingredients
ND_NC1924	NCBI	NA	GCA_033944005.1	Cronobacter sakazakii	CFSAN135085	PDT001996121.1	USA	North America	NA	grain	2023	Food and Food Ingredients
ND_NC1925	NCBI	NA	GCA_033944025.1	Cronobacter sakazakii	CFSAN134908	PDT001996122.1	USA	North America	NA	food production facility environmental sponge	2023	Environmental Samples
ND_NC1926	NCBI	NA	GCA_033944065.1	Cronobacter sakazakii	CFSAN135100	PDT001996112.1	USA	North America	NA	grain	2023	Food and Food Ingredients
ND_NC1927	NCBI	NA	GCA_033944085.1	Cronobacter sakazakii	CFSAN135101	PDT001996111.1	USA	North America	NA	sprouts	2023	Food and Food Ingredients
ND_NC1928	NCBI	NA	GCA_033944165.1	Cronobacter sakazakii	CFSAN135099	PDT001996104.1	USA	North America	NA	grain	2023	Food and Food Ingredients
ND_NC1929	NCBI	NA	GCA_033944245.1	Cronobacter sakazakii	CFSAN135082	PDT001996096.1	USA	North America	NA	grain	2023	Food and Food Ingredients
ND_NC1930	NCBI	NA	GCA_033944265.1	Cronobacter sakazakii	CFSAN135083	PDT001996099.1	USA	North America	NA	grain	2023	Food and Food Ingredients
ND_NC1931	NCBI	NA	GCA_033944285.1	Cronobacter sakazakii	CFSAN135084	PDT001996097.1	USA	North America	NA	grain	2023	Food and Food Ingredients
ND_NC1932	NCBI	NA	GCA_033944325.1	Cronobacter sakazakii	CFSAN135097	PDT001996095.1	USA	North America	NA	grain	2023	Food and Food Ingredients
ND_NC1933	NCBI	NA	GCA_033944405.1	Cronobacter sakazakii	CFSAN135096	PDT001996080.1	USA	North America	NA	grain	2023	Food and Food Ingredients
ND_NC1934	NCBI	NA	GCA_033944445.1	Cronobacter sakazakii	CFSAN135095	PDT001996078.1	USA	North America	NA	grain	2023	Food and Food Ingredients
ND_NC1935	NCBI	NA	GCA_033944465.1	Cronobacter sakazakii	CFSAN135093	PDT001996075.1	USA	North America	NA	grain	2023	Food and Food Ingredients
ND_NC1936	NCBI	NA	GCA_033944485.1	Cronobacter sakazakii	CFSAN135090	PDT001996076.1	USA	North America	NA	grain	2023	Food and Food Ingredients
ND_NC1937	NCBI	NA	GCA_033944505.1	Cronobacter sakazakii	CFSAN134973	PDT001996079.1	USA	North America	NA	kitchen floor	2023	Environmental Samples
ND_NC1938	NCBI	NA	GCA_033944525.1	Cronobacter sakazakii	CFSAN135091	PDT001996074.1	USA	North America	NA	grain	2023	Food and Food Ingredients
ND_NC1939	NCBI	NA	GCA_033944605.1	Cronobacter sakazakii	CFSAN134930	PDT001996072.1	USA	North America	NA	kitchen sink	2023	Environmental Samples
ND_NC1940	NCBI	NA	GCA_033944625.1	Cronobacter sakazakii	CFSAN134932	PDT001996069.1	USA	North America	NA	vacuum dust floor sweepings	2023	Environmental Samples
ND_NC1941	NCBI	NA	GCA_033944665.1	Cronobacter sakazakii	CFSAN134940	PDT001996066.1	USA	North America	NA	kitchen sink	2023	Environmental Samples
ND_NC1942	NCBI	NA	GCA_033944685.1	Cronobacter sakazakii	CFSAN134931	PDT001996067.1	USA	North America	NA	kitchen floor	2023	Environmental Samples
